Date,MSFT,AAPL,AMZN,GOOG,FB,TSLA,GOOGL,NVDA,CMCSA,ADBE,INTC,CSCO,NFLX,PEP,AVGO,TMUS,TXN,COST,AMGN,CHTR,SBUX,AMAT,INTU,ISRG,AMD,BKNG,MU,LRCX,MDLZ,ADP,GILD,FISV,CSX,ATVI,MELI,ADSK,ADI,ILMN,NXPI,BIDU
11-02-2019,102.1575012,41.41828918,1591,1095.01001,165.7899933,62.56800079,1102.119995,145.5563049,35.33198166,258.3900146,46.15657043,44.40067291,345.730011,104.9964828,250.0008392,68.44000244,98.60209656,199.4355621,172.9460144,337.8200073,67.10916138,38.51985168,221.8506012,529.460022,22.95999908,1865,38.58000183,168.6847229,45.21686935,139.7259369,61.23121643,84.55999756,66.98970795,39.33990097,350.8299866,154.5700073,96.85758972,284.3699951,86.54679871,168.0599976
12-02-2019,103.749321,41.77519989,1638.01001,1121.369995,165.0399933,62.36199951,1127.579956,150.2475433,35.56116104,261.3699951,47.33012009,44.68995667,359.9700012,105.758606,253.3285065,69.59999847,100.1833344,202.4741211,175.4035187,340.3999939,66.87904358,39.28252411,225.2846069,539.710022,22.81999969,1895.290039,40.40000153,171.8777771,45.31216049,141.6109314,59.22095871,84.37999725,68.83843994,40.86994553,364,159.5399933,99.05653381,292.2000122,90.40625763,170.25
13-02-2019,103.6716614,41.60162735,1640,1120.160034,164.0700073,61.63399887,1128.630005,151.9470978,35.36063766,260.230011,47.76547241,44.32601547,351.769989,106.0652847,255.078476,69.06999969,100.851593,203.3340912,175.9155273,338.4899902,67.6077652,39.43699265,224.920517,533.4699707,22.85000038,1919.969971,41.68000031,173.5653687,45.36933517,142.5202637,59.70994186,84.38999939,68.84812927,43.71427155,360.5700073,160.0299988,99.3992157,293.519989,89.09713745,173.8200073
14-02-2019,103.7590179,41.75320053,1622.650024,1121.670044,163.9499969,60.75400162,1129.199951,153.5870514,35.58025742,260.1400146,48.08725739,45.1658783,359.0700073,104.64328,255.2416534,70.5,100.6821747,204.3278198,175.1181335,341.6000061,67.92418671,39.30182648,227.0753784,536.0800171,23.12999916,1902.329956,42.22999954,173.8722382,45.09298706,140.3321381,60.09930801,84.34999847,69.33208466,44.55775833,359.8399963,159.9400024,99.46585083,292.4700012,88.97107697,174.0800018
15-02-2019,105.0402527,41.66029739,1607.949951,1113.650024,162.5,61.57600021,1119.630005,156.3798981,36.06726837,259.4500122,48.89170074,46.12705612,356.8699951,107.7289581,255.6315765,72.05000305,101.2469254,206.8408356,176.6753693,349.0599976,67.79953766,37.74752426,229.5746155,548.5,23.68000031,1933.569946,41.99000168,173.6421051,45.89345169,141.7719574,61.20403671,85.77999878,70.21289825,43.74369431,363.1000061,160.3500061,100.6557465,299.8200073,90.22201538,170.0599976
19-02-2019,104.9917068,41.78497314,1627.579956,1118.560059,162.2899933,61.12799835,1126.51001,155.6841736,35.85718536,257.8099976,48.64564514,46.3323555,361.9200134,107.7475586,255.3867798,72.51999664,100.9739532,208.4174194,175.3901672,348.4299927,67.31052399,37.94060135,230.8635864,548.1699829,23.95000076,1935.5,41.95999908,172.8941803,45.83626938,142.3781738,60.45246506,85.62000275,70.18386078,43.62599945,367.2099915,160.6799927,99.20883942,302.2600098,89.69835663,172.4499969
20-02-2019,104.4458466,42.05387878,1622.099976,1113.800049,162.5599976,60.51200104,1120.589966,157.5825195,36.08637238,258.1000061,48.63617325,46.31369019,359.9100037,107.6546249,256.9825745,72.75,101.5951538,207.4523773,175.3432922,349.7600098,67.49269867,37.84357071,232.1820679,549.6500244,23.95000076,1926.170044,42.20999908,174.7160339,45.73145294,142.614975,60.65168381,84.73000336,70.90011597,41.95863724,368.3399963,159.8000031,101.683815,302.2399902,91.39536285,171.1799927
21-02-2019,106.648819,41.81675339,1619.439941,1096.969971,160.0399933,58.24599838,1104.209961,154.8194885,36.73571014,257.7600098,48.65510559,46.10838699,356.9700012,107.9055481,254.733902,73.41000366,100.3715744,205.6559906,174.0112457,349.5400085,67.78993988,37.67861176,231.2571564,549.8699951,23.92000008,1906.310059,41.52999878,171.4654694,46.13168716,143.0128021,59.35679245,84.75,70.24192047,41.09553528,364.980011,159.8300018,100.217865,296.8800049,91.49233246,171.8099976
22-02-2019,108.169426,42.28367233,1631.560059,1110.369995,161.8899994,58.94200134,1116.560059,158.2186127,36.86939621,258.8999939,49.67723083,46.76161575,363.019989,108.5189743,250.7080536,73.19999695,101.0021896,206.6688538,175.8873901,350.0799866,68.36524963,38.2608223,246.9117737,551.8599854,24.36000061,1910.52002,42.56999969,171.8490295,45.47415924,145.0967102,59.52882385,85.02999878,70.95820618,40.70321274,374.0599976,161.5099945,100.8175812,301.0599976,91.64749146,167.1699982
25-02-2019,108.7737808,42.59168625,1633,1109.400024,164.6199951,59.75400162,1117.329956,157.7216339,36.83119583,258.6199951,50.25453949,47.3961792,363.9100037,107.8683701,252.6121979,73.05000305,101.8304672,207.39505,178.0543213,348.8999939,68.12554169,38.48400116,243.743454,553.3900146,24.70999908,1890.030029,42.75,172.2133789,44.98815918,144.443161,59.17567062,84.23999786,70.48390198,41.1543808,375.0899963,163.9400024,102.7118912,304.7399902,94.19781494,165
26-02-2019,109.5243683,42.61612701,1636.400024,1115.130005,164.1300049,59.5719986,1122.01001,156.1413727,37.05083084,261.2200012,50.37756729,47.76011276,364.9700012,107.7847137,249.348053,72.52999878,100.9645386,207.9301453,178.3075714,346.3200073,68.21183777,38.40636826,244.9143524,548.460022,24.20999908,1915.72998,42.95999908,171.216156,45.19780731,144.8125916,59.11228943,84.72000122,70.42584229,41.27207947,369.4899902,163.3099976,102.0265198,301.2099915,91.24990845,161.9799957
27-02-2019,109.3391571,42.74813461,1641.089966,1116.050049,162.8099976,62.94800186,1122.890015,154.4616699,36.79300308,262.8999939,50.38703918,48.14271927,362.8699951,107.2270813,246.165451,72.12000275,99.49623871,208.3505554,179.5645905,345.0299988,67.26258087,37.63009262,245.8392792,549.4099731,23.47999954,1906,41.31999969,169.9120789,44.91192245,144.9072723,59.374897,85.05000305,70.56178284,40.98764801,446.6799927,164.2799988,100.8366013,309.1600037,89.04866028,162.1699982
28-02-2019,109.2026825,42.32767487,1639.829956,1119.920044,161.4499969,63.97600174,1126.550049,153.4766998,36.92670059,262.5,50.12203979,48.31069565,358.1000061,108.349556,249.674408,72.20999908,99.56213379,209.0098724,178.3075714,344.9100037,67.36806488,37.20314407,243.1629333,547.6099854,23.53000069,1697.040039,40.88000107,168.8477325,44.9405098,144.9546204,58.87685394,84.69000244,70.57151031,41.33092499,458.7900085,163.0099945,102.3387756,312.769989,88.55409241,162.5399933
01-03-2019,109.6900787,42.77258682,1671.72998,1140.98999,162.2799988,58.95800018,1148.52002,155.6555634,37.33730698,264.0100098,50.44382095,47.97475433,357.3200073,108.8555069,247.3078918,72.33999634,100.4845352,209.6787262,179.320694,346.5799866,67.93376923,37.41661835,246.390274,558.5499878,23.68000031,1714.079956,41.58000183,169.4805908,45.00721741,145.7787476,59.77332306,86.38999939,70.35784149,42.01748276,451.6400146,159.7700043,103.754837,321.1799927,91.39536285,162.0899963
04-03-2019,109.4268723,42.98770142,1696.170044,1147.800049,167.3699951,57.0719986,1153.420044,155.9838867,36.98398972,258.1600037,51.04952621,47.74145508,351.0400085,108.846138,249.24823,71.65000153,101.0868988,208.6945496,178.0261841,346.1000061,68.02965546,37.9211998,245.0028992,549.9299927,23.37000084,1707.819946,41.06000137,170.4586334,44.77851486,145.1725006,59.26622391,85.55000305,70.72687531,40.98764801,463.7999878,157.7899933,103.9653244,307.7000122,90.64868164,160.9199982
05-03-2019,108.8809967,42.90947342,1692.430054,1162.030029,171.2599945,55.30799866,1169.189941,155.7252197,36.97444153,257.3800049,50.80346298,47.87209702,354.2999878,108.7149582,251.1705017,71.41000366,100.305687,210.0418396,177.1256256,343.75,68.63371277,37.77565002,243.1235504,546.6099854,23.5,1745.930054,39.99000168,166.4026031,44.72133636,144.6041718,58.30637741,85.61000061,70.36756897,41.07591629,467.769989,154.7100067,103.5539093,303.7999878,90.47412872,167.7400055
06-03-2019,108.9297485,42.66257858,1668.949951,1157.859985,172.5099945,55.2480011,1164.939941,151.2779236,36.86939621,256.3999939,50.11257935,48.21737671,359.6099854,109.3052368,246.0384674,70.77999878,99.22328186,209.4780731,171.8067932,340.5599976,68.33647156,36.94114685,242.9464569,536.5100098,22.40999985,1751.619995,37.93000031,162.2315216,44.75945663,144.4810181,56.9752655,85.37000275,69.96941376,41.7428627,461.5299988,153.5099945,102.1761169,298.6600037,89.09713745,170.2400055
07-03-2019,107.6040649,42.16877365,1625.949951,1143.300049,169.1300049,55.31800079,1150.849976,148.5020752,36.64976883,255.4600067,49.78133011,47.86276627,352.6000061,108.7805481,240.7432251,71.31999969,98.78091431,207.1465912,170.2214508,340.0299988,67.70365143,36.45597839,241.4902191,533.1599731,22.07999992,1725.01001,37.83000183,160.2850037,44.606987,143.2241669,56.62211227,85.01000214,69.94026184,40.62474442,451.1499939,152.7700043,101.1140823,292.0599976,91.23052216,165.7200012
